"","id","cab_type_id","vendor_id","pickup_datetime","dropoff_datetime","store_and_fwd_flag","rate_code_id","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","pickup_nyct2010_gid","dropoff_nyct2010_gid","inMt","pickup.date"
"3263921",302528111,1,"2",2016-06-12 22:17:02,2016-06-12 22:39:57,"N",2,-73.7894287109375,40.6469917297363,-73.9900207519531,40.7335586547852,1,17.38,52,0,0.5,11.67,5.54,NA,0.3,70.01,"1",NA,2056,969,FALSE,2016-06-13
"2957367",301198738,4,"1",2016-06-12 20:40:51,2016-06-12 21:12:48,"N",1,-73.9961624145508,40.7632598876953,-73.9566345214844,40.6587982177734,1,9.1,30.5,0.5,0.5,6.35,0,NA,0.3,38.15,"1",NA,1164,1274,TRUE,2016-06-13
"3882574",305204613,1,"1",2016-06-12 21:36:45,2016-06-12 21:42:56,"N",1,-73.9607696533203,40.8016777038574,-73.9405364990234,40.8193092346191,1,1.8,7.5,0.5,0.5,0,0,NA,0.3,8.8,"2",NA,1328,1032,TRUE,2016-06-13
"4617071",308379246,4,"1",2016-06-12 21:59:54,2016-06-12 22:26:34,"N",1,-73.983154296875,40.761116027832,-73.8589248657227,40.6951675415039,1,10.8,32.5,0.5,0.5,0,0,NA,0.3,33.8,"2",NA,1283,537,TRUE,2016-06-13
"1170484",293475956,4,"1",2016-06-12 23:42:11,2016-06-12 23:51:30,"N",1,-73.9800491333008,40.7834739685059,-73.9874114990234,40.7736167907715,1,1.6,8.5,0.5,0.5,0,0,NA,0.3,9.8,"1",NA,1945,1741,TRUE,2016-06-13
"2000281",297060849,1,"1",2016-06-12 23:16:27,2016-06-12 23:23:23,"N",1,-73.9661483764648,40.7578430175781,-73.9876708984375,40.7475967407227,1,1.9,8,0.5,0.5,2.25,0,NA,0.3,11.55,"1",NA,923,2000,TRUE,2016-06-13
"1350796",294252064,4,"1",2016-06-12 22:07:44,2016-06-12 22:18:20,"N",1,-74.0033569335938,40.7252235412598,-73.9544830322266,40.7169532775879,1,3.3,12.5,0.5,0.5,4.1,0,NA,0.3,17.9,"1",NA,1808,1137,TRUE,2016-06-13
"1712905",295820111,1,"2",2016-06-12 21:51:17,2016-06-12 22:07:28,"N",1,-74.0100021362305,40.7210464477539,-73.9854125976562,40.76953125,2,4.28,15,0.5,0.5,4.08,0,NA,0.3,20.38,"1",NA,1806,1346,TRUE,2016-06-13
"4981928",309955894,4,"1",2016-06-12 21:19:12,2016-06-12 21:45:59,"N",1,-73.9784545898438,40.785774230957,-73.9845428466797,40.6596298217773,1,10.9,32.5,0.5,0.5,4,5.54,NA,0.3,43.34,"1",NA,1702,1245,TRUE,2016-06-13
"1078813",293079011,1,"2",2016-06-12 22:31:51,2016-06-12 22:42:01,"N",1,-73.9422836303711,40.7864685058594,-73.939826965332,40.8116798400879,1,2.58,10.5,0.5,0.5,0,0,NA,0.3,11.8,"2",NA,1706,1596,TRUE,2016-06-13
"5577830",312536523,1,"2",2016-06-12 21:51:50,2016-06-12 21:56:07,"N",1,-73.9821319580078,40.7311401367188,-73.9826278686523,40.7231407165527,5,0.72,5,0.5,0.5,0,0,NA,0.3,6.3,"2",NA,2146,10,TRUE,2016-06-13
"3288098",302633006,4,"1",2016-06-12 21:15:01,2016-06-12 21:18:03,"N",1,-73.9903259277344,40.760871887207,-73.9854125976562,40.7632102966309,1,0.4,4,0.5,0.5,1.05,0,NA,0.3,6.35,"1",NA,1162,1283,TRUE,2016-06-13
"5695462",313044673,1,"2",2016-06-12 20:09:17,2016-06-12 20:18:21,"N",1,-74.0166549682617,40.6356391906738,-73.9762954711914,40.6375198364258,5,5.6,17,0.5,0.5,0,0,NA,0.3,18.3,"2",NA,1579,237,FALSE,2016-06-13
